133005	0.0	0.0 0.1	0.1
133015	0.0	0.0	0.0	0.0
133024	0.0	0.0	0.0	0.0
133035	0.0	0.0	0.0	0.0
133045	0.0	0.0	0.0	0.0
133055	0.0	0.0	0.0	0.0
133065	0.0	0.0	0.0	0.0
133074	0.0	0.0	0.0	0.0
133085	0.0	0.0	0.0	0.0
133095	0.0	0.0	0.0	0.0
133105	0.0	0.0	0.0	0.0
133114	0.0	0.0	0.0	0.0
133125	0.0	0.0	0.0	0.0
133135	0.0	0.0	0.0	0.0
133145	0.0	0.0	0.0	0.0
133155	0.0	0.0	0.0	0.0
133165	0.0	0.0	0.0	0.0
133175	0.0	0.0	0.0	0.0
133185	0.0	0.0	0.0	0.0
133195	0.0	0.0	0.0	0.0
133206	0.0	0.0	0.0	0.0
133215	0.0	0.0	0.0	0.0
133225	0.0	0.0	0.0	0.0
133235	0.0	0.0	0.0	0.0
133245	0.0	0.0	0.0	0.0
133255	0.0	0.0	0.0	0.0
133265	0.0	0.0	0.0	0.0
133275	0.0	0.0	0.0	0.0
133285	0.0	0.0	0.0	0.0
133296	0.0	0.0	0.0	0.0
133305	0.0	0.0	0.0	0.0
133315	0.0	0.0	0.0	0.0
133325	0.0	0.0	0.0	0.0
133336	0.0	0.0	0.0	0.0
133346	0.0	0.0	0.0	0.0
133355	0.0	0.0	0.0	0.0
133365	0.0	0.0	0.0	0.0
133376	0.0	0.0	0.0	0.0
133386	0.0	0.0	0.0	0.0
133395	0.0	0.0	0.0	0.0
133405	0.0	0.0	0.0	0.0
133415	0.0	0.0	0.0	0.0
133426	0.0	0.0	0.0	0.0
133436	0.0	0.0	0.0	0.0
133445	0.0	0.0	0.0	0.0
133455	0.0	0.0	0.0	0.0
133466	0.0	0.0	0.0	0.0
133476	0.0	0.0	0.0	0.0
133486	0.0	0.0	0.0	0.0
133495	0.0	0.0	0.0	0.0
133506	0.0	0.0	0.0	0.0
133516	0.0	0.0	0.0	0.0
133526	0.0	0.0	0.0	0.0
133535	0.0	0.0	0.0	0.0
133545	0.0	0.0	0.0	0.0
133556	0.0	0.0	0.0	0.0
133566	0.0	0.0	0.0	0.0
133576	0.0	0.0	0.0	0.0
133585	0.0	0.0	0.0	0.0
133596	0.0	0.0	0.0	0.0
133606	0.0	0.0	0.0	0.0
133616	0.0	0.0	0.0	0.0
133626	0.0	0.0	0.0	0.0
133636	0.0	0.0	0.0	0.0
133646	0.0	0.0	0.0	0.0
133656	0.0	0.0	0.0	0.0
133666	0.0	0.0	0.0	0.0
133676	0.0	0.0	0.0	0.0
133686	0.0	0.0	0.0	0.0
133696	0.0	0.0	0.0	0.0
133706	0.0	0.0	0.0	0.0
133716	0.0	0.0	0.0	0.0
133726	0.0	0.0	0.0	0.0
133736	0.0	0.0	0.0	0.0
133746	0.0	0.0	0.0	0.0
133756	0.0	0.0	0.0	0.0
133767	0.0	0.0	0.0	0.0
133776	0.0	0.0	0.0	0.0
133786	0.0	0.0	0.0	0.0
133796	0.0	0.0	0.0	0.0
133807	0.0	0.0	0.0	0.0
133816	0.0	0.0	0.0	0.0
133826	0.0	0.0	0.0	0.0
133836	0.0	0.0	0.0	0.0
133847	0.0	0.0	0.0	0.0
133857	0.0	0.0	0.0	0.0
133866	0.0	0.0	0.0	0.0
133876	0.0	0.0	0.0	0.0
133886	0.0	0.0	0.0	0.0
133897	0.0	0.0	0.0	0.0
133907	0.0	0.0	0.0	0.0
133916	0.0	0.0	0.0	0.0
133926	0.0	0.0	0.0	0.0
133937	0.0	0.0	0.0	0.0
133947	0.0	0.0	0.0	0.0
133956	0.0	0.0	0.0	0.0
133966	0.0	0.0	0.0	0.0
133977	0.0	0.0	0.0	0.0
133987	0.0	0.0	0.0	0.0
133997	0.0	0.0	0.0	0.0
134006	0.0	0.0	0.0	0.0
134017	0.0	0.0	0.0	0.0
134027	0.0	0.0	0.0	0.0
134037	0.0	0.0	0.0	0.0
134047	0.0	0.0	0.0	0.0
134056	0.0	0.0	0.0	0.0
134067	0.0	0.0	0.0	0.0
134077	0.0	0.0	0.0	0.0
134087	0.0	0.0	0.0	0.0
134096	0.0	0.0	0.0	0.0
134107	0.0	0.0	0.0	0.0
134117	0.0	0.0	0.0	0.0
134127	0.0	0.0	0.0	0.0
134137	0.0	0.0	0.0	0.0
134147	0.0	0.0	0.0	0.0
134157	0.0	0.0	0.0	0.0
134167	0.0	0.0	0.0	0.0
134177	0.0	0.0	0.0	0.0
134188	0.0	0.0	0.0	0.0
134197	0.0	0.0	0.0	0.0
134207	0.0	0.0	0.0	0.0
134217	0.0	0.0	0.0	0.0
134227	0.0	0.0	0.0	0.0
134237	0.0	0.0	0.0	0.0
134247	0.0	0.0	0.0	0.0
134257	0.0	0.0	0.0	0.0
134267	0.0	0.0	0.0	0.0
134278	0.0	0.0	0.0	0.0
134287	0.0	0.0	0.0	0.0
134297	0.0	0.0	0.0	0.0
134307	0.0	0.0	0.0	0.0
134318	0.0	0.0	0.0	0.0
134328	0.0	0.0	0.0	0.0
134337	0.0	0.0	0.0	0.0
134347	0.0	0.0	0.0	0.0
134358	0.0	0.0	0.0	0.0
